model_name,num_documents,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,0.9533333333333334,0.13953682266036205,-3.2711586473385306,1
NMF,5000,0.8133333333333334,0.11412378434016217,-1.6690956820759046,1
LDA,5000,0.86,0.09797046844083049,-1.6399116073069362,1
BERTopic,5000,0.8666666666666667,0.13930978472824457,-2.740761745542309,1
top2vec,5000,0.9666666666666667,0.12688308551605626,-3.0339950778695113,2
NMF,5000,0.82,0.11825557591586199,-1.6359503991091329,2
LDA,5000,0.8266666666666667,0.07563583151824987,-1.9159462857520924,2
BERTopic,5000,0.8533333333333334,0.13006950218293234,-2.5826531659836385,2
top2vec,5000,0.98,0.12965961736213683,-3.1715611666786647,3
NMF,5000,0.78,0.11792453820118881,-1.6181862751182645,3
LDA,5000,0.8133333333333334,0.09930400079120473,-1.6290587303348611,3
BERTopic,5000,0.8466666666666667,0.15325922460720431,-2.4778309754283585,3
top2vec,10000,0.9933333333333333,0.10728067799702677,-3.5049017401272007,1
NMF,10000,0.8133333333333334,0.12387311910010305,-1.601538258832309,1
LDA,10000,0.86,0.10276725214071565,-1.6281476657420377,1
BERTopic,10000,0.7733333333333333,0.13787554879761335,-2.8424676399564293,1
top2vec,10000,0.9866666666666667,0.1575273706083845,-3.0257498992008665,2
NMF,10000,0.82,0.12177997293532708,-1.6133465504856106,2
LDA,10000,0.8266666666666667,0.08360972578716312,-1.8502642677499281,2
BERTopic,10000,0.7666666666666667,0.17043907614107906,-2.0431185891018773,2
top2vec,10000,0.9933333333333333,0.17092854576990055,-3.1235000997676914,3
NMF,10000,0.78,0.12525656304840121,-1.590416805395626,3
LDA,10000,0.8133333333333334,0.10099331300745003,-1.6156433624679243,3
BERTopic,10000,0.86,0.16061120825599187,-2.8146418432034332,3
top2vec,20000,1.0,0.17449109418563177,-2.8712209266848974,1
NMF,20000,0.8133333333333334,0.12485184467471584,-1.6205903738492073,1
LDA,20000,0.86,0.1062088046437319,-1.6321725914389944,1
BERTopic,20000,0.8066666666666666,0.1459665393939871,-2.87148495175763,1
top2vec,20000,1.0,0.15765479035661153,-3.426741410048398,2
NMF,20000,0.82,0.12084137926943353,-1.6274974618146132,2
LDA,20000,0.8266666666666667,0.08744920847616994,-1.8623179114654083,2
BERTopic,20000,0.76,0.14717165327122916,-2.3457441459923034,2
top2vec,20000,1.0,0.13861998849148133,-3.4298978219504317,3
NMF,20000,0.78,0.12434634676974214,-1.6031904806044215,3
LDA,20000,0.8133333333333334,0.10354085788197245,-1.618861719647882,3
BERTopic,20000,0.84,0.15814389410346544,-2.7947889536702273,3
top2vec,35000,0.9933333333333333,0.14969778278412568,-3.954209011499103,1
NMF,35000,0.8133333333333334,0.12532210176667508,-1.6131242725079882,1
LDA,35000,0.86,0.10846198968358137,-1.6311163627416672,1
BERTopic,35000,0.84,0.15584463103719856,-2.2735160547922293,1
top2vec,35000,1.0,0.13922634268796266,-3.0938135556567534,2
NMF,35000,0.82,0.12053458205679952,-1.6288738998125971,2
LDA,35000,0.8266666666666667,0.08889766809541916,-1.8391064605018324,2
BERTopic,35000,0.8133333333333334,0.15380072619060853,-2.2889272314118205,2
top2vec,35000,1.0,0.16358907086983895,-3.094614523776672,3
