,BERTopic,top2vec,LDA,NMF
0,"['imeti', 'nov', 'slovenija', 'čas', 'človek', 'slovenski', 'država', 'delo', 'vlada', 'ukrep']","['vozisce', 'brezina', 'cestisce', 'cesta', 'naselje', 'voznica', 'neprilagojen', 'lopata', 'moped', 'vodovoden']","['država', 'nov', 'koronavirus', 'hrvaški', 'ameriški', 'človek', 'ZDA', 'poročati', 'pandemija', 'kitajski']","['nov', 'podjetje', 'delo', 'čas', 'slovenski', 'projekt', 'spleten', 'svet', 'zato', 'področje']"
1,"['tekma', 'točka', 'sezona', 'zmaga', 'liga', 'minuta', 'mesto', 'ekipa', 'igralec', 'imeti']","['obresten', 'dobickonosnost', 'portfelj', 'potrosnja', 'donosnost', 'rast', 'depozit', 'investiranje', 'likvidnost', 'potrosniski']","['evro', 'odstotek', 'podjetje', 'Slovenija', 'delo', 'milijon', 'družba', 'sredstvo', 'projekt', 'deloven']","['delo', 'zakon', 'Slovenija', 'delavec', 'delodajalec', 'plača', 'člen', 'javen', 'deloven', 'nadomestilo']"
2,"['občina', 'stanovanje', 'objekt', 'prostor', 'požar', 'projekt', 'gradnja', 'nov', 'cesta', 'odpadek']","['bolnisnicen', 'beovicev', 'bolnik', 'nijz', 'obolel', 'pacient', 'nimz', 'dihalo', 'hospitaliziran', 'bris']","['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'slovenski', 'točka', 'mesto', 'zmaga', 'imeti']","['vlada', 'stranka', 'predsednik', 'Janša', 'poslanec', 'volitev', 'medij', 'minister', 'političen', 'koalicija']"
3,"['okužba', 'nov', 'koronavirus', 'kitajski', 'država', 'človek', 'število', 'potrditi', 'umreti', 'virus']","['koalicijski', 'smc', 'sds', 'jansev', 'koalicija', 'poslanec', 'lms', 'opozicija', 'levica', 'nsi']","['okužba', 'ukrep', 'nov', 'koronavirus', 'zdravstven', 'covid', 'epidemija', 'dom', 'Slovenija', 'število']","['odstotek', 'evro', 'milijon', 'ukrep', 'podjetje', 'epidemija', 'milijarda', 'cena', 'odstoten', 'sredstvo']"
4,"['film', 'filmski', 'imeti', 'življenje', 'igralec', 'družina', 'meghan', 'vloga', 'režiser', 'festival']","['obozevalec', 'pevka', 'zaljubiti', 'obozevalka', 'seksi', 'ljubezenski', 'romanticen', 'postaven', 'zaljubljen', 'instagram']","['občina', 'vozilo', 'ura', 'cesta', 'območje', 'nesreča', 'policist', 'voznik', 'mesto', 'Ljubljana']","['država', 'Slovenija', 'slovenski', 'evropski', 'blago', 'hrvaški', 'meja', 'članica', 'unija', 'polje']"
5,"['okužba', 'nov', 'dom', 'covid', 'cepivo', 'okužen', 'bolnik', 'koronavirus', 'stanovalec', 'bolnišnica']","['zadetek', 'soigralec', 'branilec', 'zabiti', 'nogometas', 'derbi', 'gol', 'polcas', 'vezist', 'odigrati']","['nov', 'sistem', 'imeti', 'podjetje', 'uporaba', 'izdelek', 'telefon', 'uporabljati', 'aplikacija', 'uporabnik']","['tekma', 'sezona', 'liga', 'ekipa', 'klub', 'točka', 'imeti', 'mesto', 'igrati', 'zmaga']"
6,"['stranka', 'vlada', 'desus', 'predsednik', 'koalicija', 'poslanec', 'volitev', 'smc', 'janša', 'poslanski']","['literaren', 'razstava', 'pisatelj', 'likoven', 'opus', 'slikar', 'simpozij', 'umetnik', 'umetnost', 'slikarstvo']","['imeti', 'čas', 'človek', 'zato', 'življenje', 'iti', 'otrok', 'vedeti', 'svet', 'videti']","['občina', 'ura', 'javen', 'mesten', 'številka', 'občinski', 'center', 'občan', 'čas', 'telefonski']"
7,"['slovenija', 'ukrep', 'vlada', 'država', 'meja', 'odlok', 'hrvaški', 'trgovina', 'nov', 'javen']","['donald', 'trump', 'trumpov', 'republikanski', 'biden', 'republikanec', 'obtoziti', 'ubit', 'demokratski', 'joe']","['vlada', 'predsednik', 'Slovenija', 'država', 'stranka', 'minister', 'evropski', 'slovenski', 'državen', 'političen']","['imeti', 'človek', 'čas', 'otrok', 'iti', 'življenje', 'vedeti', 'zato', 'priti', 'reči']"
8,"['trump', 'zda', 'biden', 'predsednik', 'ameriški', 'volitev', 'trumpov', 'donald', 'država', 'demokrat']","['smrten', 'ozdraveti', 'okuzba', 'okuziti', 'koronavirus', 'wuhan', 'hubei', 'izbruh', 'okuzen', 'zabeleziti']","['slovenski', 'film', 'spleten', 'Ljubljana', 'dogodek', 'Slovenija', 'knjiga', 'nagrada', 'kulturen', 'festival']","['nov', 'okužba', 'koronavirus', 'človek', 'covid', 'število', 'potrditi', 'ukrep', 'država', 'okužen']"
9,"['vozilo', 'cesta', 'nesreča', 'voznik', 'prometen', 'avtocesta', 'policist', 'ura', 'promet', 'prehod']","['karavana', 'dirka', 'stopnicka', 'sprint', 'tour', 'etapen', 'sprinterski', 'start', 'zaostati', 'kronometer']","['ženska', 'policija', 'moški', 'dejanje', 'leten', 'sodišče', 'policist', 'preiskava', 'nekdanji', 'oseba']","['Ljubljana', 'Nbsp', 'Slovenija', 'slovenski', 'minister', 'sodišče', 'predsednik', 'nov', 'seja', 'konferenca']"
