model_name,num_topics,topic_diversity,topic_coherence,seed
LDA,5,0.808,0.051432988271921554,1
LDA,8,0.84,0.06475665322291795,1
LDA,10,0.832,0.0552966934956754,1
LDA,15,0.8133333333333334,0.050690965759488026,1
LDA,20,0.836,0.024191520809264334,1
LDA,30,0.7933333333333333,0.07259261616742045,1
LDA,40,0.75,0.06649367247671682,1
LDA,50,0.7408,0.021792168699905936,1
LDA,100,0.7284,-0.0007322544159893096,1
LDA,5,0.792,0.0791391162974016,2
LDA,8,0.79,0.05330568512782795,2
LDA,10,0.832,0.03993187515331954,2
LDA,15,0.808,0.026087004268111516,2
LDA,20,0.808,0.06485140795901473,2
LDA,30,0.7626666666666667,0.04431810403563569,2
LDA,40,0.728,0.0469986847694923,2
LDA,50,0.7328,0.05003606762064137,2
LDA,100,0.7052,0.027810952855647438,2
LDA,5,0.824,-0.031217316627429253,3
LDA,8,0.83,0.021742066935853527,3
LDA,10,0.824,0.06786052293018296,3
LDA,15,0.7413333333333333,0.0725042557272655,3
LDA,20,0.796,0.03934147794745897,3
LDA,30,0.7613333333333333,0.04698027498102349,3
LDA,40,0.776,-0.00204594995403968,3
LDA,50,0.736,0.00012966956409139364,3
LDA,100,0.7244,0.003420431420575827,3
