model_name,min_topic_size,topic_representations,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'delati', 'dati'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'necepljen', 'odmerek', 'imeti', 'anticepilec', 'test'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'postelja', 'zdravje', 'bolnik', 'covid', 'imeti', 'intenziven'], ['volitev', 'voda', 'referendum', 'glasovati', 'glasovanje', 'zakon', 'volilen', 'glas', 'volilec', 'poslanec'], ['sodišče', 'sodnik', 'ustaven', 'sodnica', 'sodstvo', 'vrhoven', 'sodba', 'janković', 'soden', 'praven'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'imeti', 'laž', 'oblast', 'revolucija', 'iti'], ['šola', 'učitelj', 'otrok', 'šolski', 'študent', 'ravnatelj', 'učiteljica', 'imeti', 'matematika', 'razred'], ['protest', 'protestnik', 'nasilje', 'protestirati', 'petkov', 'facebook', 'nasilen', 'neprijavljen', 'vlada', 'aktivist'], ['medij', 'medijski', 'slovenija', 'slovenski', 'novinar', 'cenzura', 'televizija', 'svoboda', 'novinarstvo', 'rtv'], ['twitter', 'tvit', 'tw', 'profil', 'twit', 'tviter', 'tvitati', 'vedeti', 'tweet', 'instagram'], ['ana', 'alenka', 'janša', 'jasen', 'brano', 'bravo', 'boleti', 'bel', 'dobiti', 'priti'], ['šport', 'zmaga', 'tekma', 'športen', 'olimpijski', 'liga', 'športnik', 'prvak', 'reprezentanca', 'košarkar'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'protest', 'shod', 'sindikat', 'aretirati', 'človek'], ['evropski', 'evropa', 'bruselj', 'komisija', 'parlament', 'vlada', 'unija', 'predsednik', 'država', 'svet'], ['novinar', 'novinarski', 'novinarstvo', 'novinarka', 'medij', 'napad', 'medijski', 'reporter', 'članek', 'imeti']]",0.88,0.01892144910250965,-7.082115349181677,1
BERTopic,15,"[['imeti', 'iti', 'slovenija', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'slovenski'], ['sodišče', 'sodnik', 'ustaven', 'diploma', 'sodnica', 'vrhoven', 'sodstvo', 'praven', 'ustava', 'sodba'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'imeti', 'odmerek', 'necepljen', 'anticepilec', 'človek'], ['volitev', 'voda', 'referendum', 'glasovati', 'glasovanje', 'volilen', 'zakon', 'glas', 'piten', 'stranka'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'postelja', 'zdravje', 'bolnik', 'covid', 'imeti', 'pacient'], ['demokracija', 'slovenija', 'levica', 'slovenski', 'levičar', 'stranka', 'volitev', 'demokrat', 'demokratičen', 'desnica'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'očitati'], ['protest', 'protestnik', 'ljubljana', 'protestirati', 'petkov', 'facebook', 'nasilen', 'neprijavljen', 'organizirati', 'vlada'], ['šola', 'učitelj', 'otrok', 'šolski', 'študent', 'ravnatelj', 'matematika', 'imeti', 'učiteljica', 'daljava'], ['požar', 'gasilec', 'požareport', 'eksplozija', 'avto', 'cesta', 'vozilo', 'prometen', 'voziti', 'nesreča'], ['fašist', 'fašizem', 'fašističen', 'hitler', 'nacist', 'zrak', 'nacizem', 'onesnaženost', 'neonacist', 'nacističen'], ['twitter', 'tvit', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'tviteraš', 'vedeti'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'protest', 'sindikat', 'shod', 'aretirati', 'imeti'], ['minister', 'simoniti', 'župan', 'ministrica', 'premier', 'interpelacija', 'obisk', 'ministrstvo', 'vlada', 'zunanji'], ['šport', 'zmaga', 'tekma', 'športen', 'športnik', 'prvak', 'liga', 'olimpijski', 'reprezentanca', 'maribor']]",0.8933333333333333,0.01486194650259429,-7.413397370592831,2
BERTopic,15,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'slovenija', 'nov', 'država', 'čas', 'delati'], ['medij', 'slovenija', 'video', 'slovenski', 'medijski', 'novinar', 'radio', 'televizija', 'film', 'cenzura'], ['sodišče', 'sodnik', 'ustaven', 'sodnica', 'sodstvo', 'vrhoven', 'praven', 'ustava', 'sodba', 'soden'], ['volitev', 'voda', 'referendum', 'glasovati', 'glasovanje', 'volilen', 'zakon', 'glas', 'piten', 'stranka'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'očitati'], ['protest', 'protestnik', 'ljubljana', 'protestirati', 'facebook', 'petkov', 'nasilen', 'neprijavljen', 'vlada', 'aktivist'], ['šola', 'učitelj', 'otrok', 'šolski', 'ravnatelj', 'matematika', 'imeti', 'učiteljica', 'razred', 'daljava'], ['šport', 'zmaga', 'športen', 'tekma', 'olimpijski', 'liga', 'športnik', 'prvak', 'ekipa', 'reprezentanca'], ['twitter', 'tvit', 'tw', 'twit', 'tweet', 'profil', 'tviter', 'tvitati', 'vedeti', 'tviteraš'], ['fašist', 'fašizem', 'hitler', 'fašističen', 'nacist', 'nacizem', 'neonacist', 'nacističen', 'lev', 'vrhoven'], ['ana', 'alenka', 'janša', 'jasen', 'bravo', 'bati', 'hud', 'bel', 'priti', 'hecati'], ['slovenija', 'demokracija', 'slovenski', 'volitev', 'slovenec', 'demokratičen', 'stranka', 'vlada', 'komunist', 'političen'], ['novinar', 'novinarski', 'novinarstvo', 'medij', 'novinarka', 'napad', 'medijski', 'urednik', 'konferenca', 'imeti'], ['sindikat', 'plača', 'nizek', 'slovenija', 'zrak', 'onesnaženost', 'brezposelnost', 'plačati', 'delavec', 'rast'], ['odlično', 'odličen', 'bravo', 'super', 'krasen', 'čudovit', 'neverjetno', 'fenomenalen', 'superpower', 'trunk']]",0.88,-0.04269088623382934,-8.982244572707819,3
BERTopic,20,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'delati', 'dati'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'odmerek', 'imeti', 'necepljen', 'anticepilec', 'test'], ['novinar', 'medij', 'medijski', 'novinarski', 'svoboda', 'novinarstvo', 'novinarka', 'novica', 'urednik', 'napad'], ['sodišče', 'sodnik', 'ustaven', 'diploma', 'vrhoven', 'sodnica', 'sodstvo', 'praven', 'masleša', 'sodba'], ['volitev', 'voda', 'referendum', 'glasovati', 'glasovanje', 'volilen', 'zakon', 'glas', 'poslanec', 'stranka'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'imeti', 'laž', 'oblast', 'revolucija', 'iti'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'zdravje', 'bolnik', 'covid', 'pacient', 'javen', 'imeti'], ['protest', 'protestnik', 'nasilje', 'protestirati', 'facebook', 'petkov', 'nasilen', 'neprijavljen', 'aktivist', 'vlada'], ['požar', 'gasilec', 'cesta', 'avto', 'eksplozija', 'pomoč', 'tehničen', 'požareport', 'prometen', 'vozilo'], ['šola', 'učitelj', 'otrok', 'šolski', 'študent', 'ravnatelj', 'učiteljica', 'matematika', 'imeti', 'starš'], ['twitter', 'tvit', 'tw', 'profil', 'twit', 'tviter', 'tvitati', 'vedeti', 'tweet', 'instagram'], ['medij', 'slovenija', 'slovenski', 'novinar', 'medijski', 'cenzura', 'televizija', 'novinarstvo', 'svoboda', 'rtv'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'protest', 'shod', 'sindikat', 'aretirati', 'človek'], ['šport', 'zmaga', 'tekma', 'športen', 'olimpijski', 'liga', 'športnik', 'košarkar', 'reprezentanca', 'prvak'], ['alenka', 'brano', 'boleti', 'bel', 'nsi', 'priti', 'bati', 'primož', 'bravo', 'pregl']]",0.8933333333333333,0.01971978992698623,-7.013170654672279,1
BERTopic,20,"[['imeti', 'iti', 'vlada', 'človek', 'slovenija', 'vedeti', 'nov', 'država', 'čas', 'delati'], ['cepivo', 'cepljenje', 'cepljen', 'covid', 'cepiti', 'odmerek', 'imeti', 'necepljen', 'anticepilec', 'človek'], ['novinar', 'medij', 'medijski', 'novinarski', 'svoboda', 'novinarstvo', 'novica', 'novinarka', 'urednik', 'napad'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'postelja', 'zdravje', 'bolnik', 'covid', 'imeti', 'pacient'], ['volitev', 'voda', 'referendum', 'glasovati', 'glasovanje', 'volilen', 'glas', 'zakon', 'piten', 'stranka'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'očitati'], ['protest', 'protestnik', 'ljubljana', 'protestirati', 'petkov', 'facebook', 'nasilen', 'aktivist', 'vlada', 'neprijavljen'], ['demokracija', 'slovenija', 'slovenski', 'stranka', 'levica', 'volitev', 'slovenec', 'demokratičen', 'demokrat', 'komunist'], ['šola', 'učitelj', 'otrok', 'šolski', 'ravnatelj', 'matematika', 'študent', 'imeti', 'učiteljica', 'razred'], ['požar', 'gasilec', 'požareport', 'eksplozija', 'avto', 'cesta', 'vozilo', 'prometen', 'voziti', 'nesreča'], ['twitter', 'tvit', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'vedeti', 'tviteraš'], ['slovenija', 'slovenec', 'igor', 'ljubljana', 'slovenski', 'kranj', 'vedeti', 'drag', 'kovačič', 'zlatko'], ['fašist', 'fašizem', 'fašističen', 'hitler', 'nacist', 'nacizem', 'neonacist', 'nacističen', 'lev', 'vrhoven'], ['medij', 'slovenski', 'slovenija', 'novinar', 'medijski', 'cenzura', 'televizija', 'cenzurirati', 'rtv', 'novinarstvo'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'protest', 'sindikat', 'shod', 'aretirati', 'človek']]",0.8266666666666667,-0.010143689258003545,-8.000313542878157,2
BERTopic,20,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'slovenija', 'nov', 'država', 'čas', 'delati'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'odmerek', 'imeti', 'necepljen', 'pfizer', 'okužba'], ['volitev', 'referendum', 'voda', 'glasovati', 'glasovanje', 'volilen', 'glas', 'zakon', 'piten', 'stranka'], ['medij', 'svoboda', 'medijski', 'slovenija', 'slovenski', 'novinar', 'cenzura', 'pravica', 'televizija', 'govor'], ['slovenski', 'slovenija', 'demokracija', 'slovenec', 'volitev', 'stranka', 'vlada', 'predsednik', 'jezik', 'demokratičen'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'oblast', 'laž', 'imeti', 'revolucija', 'očitati'], ['požar', 'gasilec', 'požareport', 'avto', 'cesta', 'eksplozija', 'vozilo', 'tehničen', 'prometen', 'pomoč'], ['šport', 'tekma', 'zmaga', 'športen', 'olimpijski', 'liga', 'športnik', 'prvak', 'ekipa', 'reprezentanca'], ['šola', 'učitelj', 'otrok', 'šolski', 'ravnatelj', 'matematika', 'razred', 'imeti', 'daljava', 'učiteljica'], ['protest', 'protestnik', 'protestirati', 'facebook', 'petkov', 'nasilen', 'ljubljana', 'vlada', 'aktivist', 'neprijavljen'], ['twitter', 'tvit', 'tw', 'twit', 'tweet', 'profil', 'tviter', 'tvitati', 'vedeti', 'tviteraš'], ['novinar', 'novinarski', 'novinarstvo', 'medij', 'novinarka', 'napad', 'medijski', 'urednik', 'konferenca', 'imeti'], ['policija', 'policist', 'policijski', 'policaj', 'protestnik', 'protest', 'shod', 'sindikat', 'imeti', 'aretirati'], ['alenka', 'bati', 'hud', 'bel', 'priti', 'primož', 'bravo', 'boleti', 'pregl', 'janša'], ['plača', 'sindikat', 'nizek', 'zrak', 'onesnaženost', 'slovenija', 'brezposelnost', 'plačati', 'rast', 'delavec']]",0.8666666666666667,-0.020066558296264973,-8.107141217372707,3
BERTopic,35,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'videti', 'dati'], ['novinar', 'medij', 'medijski', 'novinarski', 'novinarstvo', 'slovenija', 'slovenski', 'novinarka', 'svoboda', 'cenzura'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'necepljen', 'odmerek', 'imeti', 'test', 'človek'], ['sodišče', 'sodnik', 'ustaven', 'sodnica', 'sodstvo', 'vrhoven', 'praven', 'sodba', 'pravnik', 'soden'], ['evro', 'denar', 'plača', 'eur', 'plačati', 'plačevati', 'sindikat', 'milijon', 'milijarda', 'dobiti'], ['voda', 'volitev', 'referendum', 'glasovati', 'glasovanje', 'zakon', 'volilen', 'glas', 'piten', 'poslanec'], ['šola', 'učitelj', 'otrok', 'šolski', 'starš', 'ravnatelj', 'študent', 'učiteljica', 'imeti', 'razred'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'zdravje', 'bolnik', 'covid', 'pacient', 'imeti', 'javen'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'iti'], ['policija', 'policist', 'policijski', 'policaj', 'ura', 'protestnik', 'protest', 'aretirati', 'imeti', 'shod'], ['twitter', 'tvit', 'facebook', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'tviteraš'], ['protest', 'protestnik', 'protestirati', 'petkov', 'nasilen', 'nasilje', 'aktivist', 'neprijavljen', 'ljubljana', 'vlada'], ['požar', 'gasilec', 'avto', 'eksplozija', 'požareport', 'cesta', 'vozilo', 'prometen', 'voznik', 'voziti'], ['šport', 'tekma', 'športen', 'zmaga', 'olimpijski', 'športnik', 'ekipa', 'prvak', 'reprezentanca', 'liga'], ['okužba', 'koronavirus', 'test', 'pcr', 'pozitiven', 'korona', 'nov', 'število', 'covid', 'okužen']]",0.9066666666666666,0.05477194864210439,-6.419904253231362,1
BERTopic,35,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'videti', 'delati'], ['cepivo', 'cepljenje', 'cepljen', 'test', 'cepiti', 'covid', 'koronavirus', 'okužba', 'imeti', 'odmerek'], ['sodišče', 'sodnik', 'ustaven', 'diploma', 'vrhoven', 'sodstvo', 'sodnica', 'praven', 'ustava', 'masleša'], ['novinar', 'medij', 'medijski', 'novinarski', 'svoboda', 'novinarstvo', 'novica', 'novinarka', 'urednik', 'napad'], ['voda', 'volitev', 'referendum', 'glasovati', 'glasovanje', 'zakon', 'volilen', 'glas', 'piten', 'stranka'], ['šola', 'učitelj', 'otrok', 'šolski', 'starš', 'študent', 'razred', 'ravnatelj', 'imeti', 'učiteljica'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'očitati'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'zdravje', 'bolnik', 'covid', 'pacient', 'imeti', 'javen'], ['policija', 'policist', 'policijski', 'policaj', 'ura', 'protestnik', 'protest', 'aretirati', 'shod', 'imeti'], ['protest', 'protestnik', 'protestirati', 'petkov', 'nasilen', 'aktivist', 'vlada', 'organizirati', 'neprijavljen', 'ljubljana'], ['twitter', 'tvit', 'facebook', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'vedeti'], ['šport', 'tekma', 'športen', 'olimpijski', 'zmaga', 'športnik', 'prvak', 'liga', 'reprezentanca', 'ekipa'], ['medij', 'slovenija', 'slovenski', 'novinar', 'medijski', 'cenzura', 'televizija', 'rtv', 'cenzurirati', 'novinarstvo'], ['epidemija', 'okužba', 'število', 'covid', 'slovenija', 'ukrep', 'okužen', 'bolezen', 'podatek', 'imeti'], ['fašist', 'fašizem', 'hitler', 'fašističen', 'nacist', 'nacizem', 'neonacist', 'nacističen', 'lev', 'holokavst']]",0.88,0.03614700747358129,-6.791518714897438,2
BERTopic,35,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'videti', 'delati'], ['cepivo', 'cepljenje', 'cepljen', 'cepiti', 'covid', 'odmerek', 'imeti', 'necepljen', 'anticepilec', 'cep'], ['novinar', 'medij', 'medijski', 'novinarski', 'svoboda', 'novica', 'novinarstvo', 'novinarka', 'urednik', 'napad'], ['sodišče', 'sodnik', 'ustaven', 'sodnica', 'vrhoven', 'sodstvo', 'praven', 'sodba', 'pravnik', 'soden'], ['volitev', 'voda', 'referendum', 'glasovati', 'zakon', 'glasovanje', 'volilen', 'glas', 'piten', 'stranka'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'oblast', 'imeti', 'laž', 'revolucija', 'iti'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'zdravje', 'bolnik', 'covid', 'pacient', 'imeti', 'sistem'], ['šola', 'učitelj', 'otrok', 'šolski', 'študent', 'ravnatelj', 'učiteljica', 'imeti', 'starš', 'razred'], ['policija', 'policist', 'policijski', 'policaj', 'ura', 'protestnik', 'protest', 'imeti', 'aretirati', 'shod'], ['twitter', 'tvit', 'facebook', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'vedeti'], ['šport', 'tekma', 'zmaga', 'športen', 'prvak', 'olimpijski', 'športnik', 'liga', 'ekipa', 'reprezentanca'], ['protest', 'protestnik', 'protestirati', 'petkov', 'nasilen', 'aktivist', 'neprijavljen', 'ljubljana', 'organizirati', 'vlada'], ['okužba', 'koronavirus', 'test', 'pcr', 'pozitiven', 'korona', 'število', 'nov', 'covid', 'okužen'], ['medij', 'slovenija', 'slovenski', 'novinar', 'medijski', 'cenzura', 'novinarstvo', 'svoboda', 'video', 'cenzurirati'], ['odlično', 'odličen', 'bravo', 'super', 'čudovit', 'neverjetno', 'fenomenalen', 'krasen', 'superpower', 'wohoo']]",0.88,0.038909822666991216,-6.9024609642070995,3
BERTopic,50,"[['imeti', 'iti', 'vlada', 'človek', 'vedeti', 'nov', 'država', 'čas', 'videti', 'predsednik'], ['denar', 'plača', 'evro', 'plačati', 'plačevati', 'imeti', 'cena', 'eur', 'proračun', 'pokojnina'], ['cepivo', 'cepljenje', 'cepljen', 'okužba', 'test', 'covid', 'koronavirus', 'cepiti', 'imeti', 'testiranje'], ['novinar', 'medij', 'medijski', 'novinarski', 'novinarstvo', 'svoboda', 'slovenija', 'slovenski', 'novinarka', 'novica'], ['sodišče', 'sodnik', 'ustaven', 'sodnica', 'vrhoven', 'sodstvo', 'praven', 'sodba', 'soden', 'pravnik'], ['voda', 'volitev', 'referendum', 'glasovati', 'glasovanje', 'zakon', 'volilen', 'piten', 'glas', 'poslanec'], ['zdravnik', 'zdravstvo', 'zdravstven', 'bolnišnica', 'zdravje', 'bolnik', 'covid', 'pacient', 'imeti', 'javen'], ['šport', 'tekma', 'zmaga', 'športen', 'prvak', 'ekipa', 'olimpijski', 'športnik', 'medalja', 'liga'], ['komunist', 'komunističen', 'komunizem', 'ponosen', 'naslednik', 'laž', 'oblast', 'imeti', 'revolucija', 'iti'], ['šola', 'učitelj', 'otrok', 'šolski', 'ravnatelj', 'študent', 'starš', 'učiteljica', 'imeti', 'šolstvo'], ['cerkev', 'bog', 'papež', 'kristjan', 'katoliški', 'krščanski', 'cerkven', 'krščanstvo', 'imeti', 'kristus'], ['twitter', 'tvit', 'facebook', 'tw', 'profil', 'twit', 'tweet', 'tviter', 'tvitati', 'tviteraš'], ['iti', 'brano', 'dogajati', 'odstopiti', 'boleti', 'evo', 'ven', 'bel', 'nsi', 'kam'], ['policija', 'policist', 'policijski', 'policaj', 'ura', 'protestnik', 'protest', 'imeti', 'solzivec', 'voden'], ['protest', 'protestnik', 'protestirati', 'petkov', 'nasilen', 'nasilje', 'aktivist', 'neprijavljen', 'vlada', 'ljubljana']]",0.9133333333333333,0.024191897521469066,-7.1184563175259346,1
