model_name,n_neighbors,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,0.8466666666666667,0.16310239027682147,-2.220300645668411,1
BERTopic,15,0.8666666666666667,0.16235756529856393,-2.2759508278198424,2
BERTopic,15,0.82,0.14611819277241986,-2.448133522206551,3
BERTopic,20,0.8666666666666667,0.16684713315963254,-2.679734147278777,1
BERTopic,20,0.86,0.1754056401645304,-1.994462960423689,2
BERTopic,20,0.8733333333333333,0.16969353353346175,-2.379991575670762,3
BERTopic,35,0.8133333333333334,0.15798893166755618,-2.444755958386346,1
BERTopic,35,0.8266666666666667,0.15354994899504532,-2.259129003564941,2
BERTopic,35,0.8266666666666667,0.1755507151515129,-2.132407062184122,3
BERTopic,50,0.8466666666666667,0.15369063456010262,-2.0205134544836127,1
BERTopic,50,0.7733333333333333,0.15432545467906925,-2.6112902779906637,2
BERTopic,50,0.8133333333333334,0.14307387049801734,-2.678379352568453,3
BERTopic,80,0.8133333333333334,0.13181558450224024,-2.5459687924273497,1
BERTopic,80,0.8133333333333334,0.17942305937045064,-2.365956787832326,2
BERTopic,80,0.8066666666666666,0.14839051852877436,-2.533229866656052,3
BERTopic,100,0.78,0.18175842219989108,-1.98728957289427,1
BERTopic,100,0.8066666666666666,0.17875756658164904,-2.4244406882460123,2
BERTopic,100,0.88,0.17276936874399232,-2.5382925833377135,3
BERTopic,200,0.88,0.1791398684754782,-2.183743589971971,1
BERTopic,200,0.8133333333333334,0.1537119195037621,-2.1331681787939485,2
BERTopic,200,0.88,0.1608959071423098,-2.4823970832903894,3
BERTopic,500,0.7933333333333333,0.15992874221342313,-2.544267171828591,1
BERTopic,500,0.8133333333333334,0.15901619174485035,-2.2014039714403215,2
BERTopic,500,0.8533333333333334,0.19348618454223326,-2.1452496921314146,3
