model_name,num_topics,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
NMF,5,0.68,-0.0824532994627822,-6.459805959617407,1
LDA,5,0.632,-0.08322668642071171,-5.836101183690909,1
BERTopic,5,0.848,-0.07410189802283224,-8.409896719895954,1
NMF,8,0.69,-0.1497352271900555,-8.749578525917109,1
LDA,8,0.655,-0.13980885748082764,-7.617995585786464,1
BERTopic,8,0.86,-0.1367862002644188,-10.758345575456246,1
NMF,10,0.64,-0.11552486547593747,-8.369815620705435,1
LDA,10,0.716,-0.15614013165277046,-8.837303360773475,1
BERTopic,10,0.856,-0.1687943763700399,-11.882631079510949,1
NMF,15,0.6773333333333333,-0.18236394321668303,-10.961641871213095,1
LDA,15,0.7733333333333333,-0.2243150652072679,-10.694332096400196,1
BERTopic,15,0.8506666666666667,-0.17484658803371325,-12.39587861571892,1
NMF,20,0.672,-0.19473454758195413,-11.064730312338376,1
LDA,20,0.8,-0.25910911250380775,-12.246745052198335,1
BERTopic,20,0.86,-0.21370057596873854,-13.564863084662642,1
NMF,25,0.6256,-0.203586792490753,-12.08049143854673,1
LDA,25,0.808,-0.25673848775246916,-12.518236869691114,1
BERTopic,25,0.8496,-0.2146568243177167,-13.834773468688047,1
NMF,30,0.6346666666666667,-0.17220239282051328,-11.971831451558936,1
LDA,30,0.8546666666666667,-0.3188971299115662,-14.487129094402862,1
BERTopic,30,0.8413333333333334,-0.22193061297940292,-14.156585250575564,1
NMF,5,0.68,-0.06723795059474616,-5.884293978963795,2
LDA,5,0.624,-0.06642837353235719,-5.039914255048853,2
BERTopic,5,0.848,-0.031662857755633225,-7.454947354786069,2
NMF,8,0.64,-0.08925370215046853,-7.466691043126171,2
LDA,8,0.675,-0.10657026984147977,-6.533691157676647,2
BERTopic,8,0.845,-0.10588792940568106,-9.821813987143216,2
NMF,10,0.652,-0.13485281264889024,-8.913164124825148,2
LDA,10,0.696,-0.18741399596099792,-9.391472500707318,2
BERTopic,10,0.84,-0.1265254267114978,-10.5346327731246,2
NMF,15,0.68,-0.16091797896823665,-10.966556213302217,2
LDA,15,0.7973333333333333,-0.2574640180928032,-11.845749191041477,2
BERTopic,15,0.8373333333333334,-0.1751328129739969,-12.316406826217618,2
NMF,20,0.66,-0.14928102440660185,-10.438510974413111,2
LDA,20,0.82,-0.2952289230520308,-13.208005303260572,2
BERTopic,20,0.852,-0.20155036312365118,-13.285722171106979,2
NMF,25,0.6592,-0.15482990993502804,-10.789594659210412,2
LDA,25,0.8288,-0.2824061800776029,-13.074175547381236,2
BERTopic,25,0.8464,-0.21016027747673488,-13.709930576070878,2
NMF,30,0.6373333333333333,-0.19474783466662013,-12.0662410841809,2
LDA,30,0.8426666666666667,-0.311988207322578,-14.138240007358698,2
BERTopic,30,0.86,-0.2170395934760067,-14.1667724888685,2
NMF,5,0.664,-0.11567757210551202,-7.50697931688279,3
LDA,5,0.664,-0.1062603039408673,-6.6369030253612,3
BERTopic,5,0.856,-0.05893833031484832,-8.11023979791694,3
NMF,8,0.67,-0.15356496384618884,-8.977209396652553,3
LDA,8,0.645,-0.1367301192255165,-7.947613716060866,3
BERTopic,8,0.86,-0.16522127985581775,-11.585772914010096,3
NMF,10,0.684,-0.13753998551617086,-9.170272848547564,3
LDA,10,0.712,-0.16265213369825066,-8.705784279225709,3
BERTopic,10,0.848,-0.17707655310971362,-12.208641487015473,3
NMF,15,0.6853333333333333,-0.15780797706130217,-10.551181003181734,3
LDA,15,0.7813333333333333,-0.2307886871324896,-11.396072410828392,3
BERTopic,15,0.8426666666666667,-0.2012169401767519,-12.711969435471223,3
NMF,20,0.666,-0.17951090936426697,-11.34262816668205,3
LDA,20,0.814,-0.29295190265846555,-13.085687506169913,3
BERTopic,20,0.864,-0.22435347304688397,-13.894779104020524,3
NMF,25,0.6416,-0.20428302640678478,-12.186294223419445,3
LDA,25,0.8496,-0.2962154962141077,-13.558617462169073,3
BERTopic,25,0.8736,-0.238846206222582,-14.497384460417729,3
NMF,30,0.636,-0.20057100757422006,-12.346355738944347,3
LDA,30,0.8426666666666667,-0.30750402181477143,-14.010440500032084,3
BERTopic,30,0.8706666666666667,-0.23326414393745779,-14.531336474976648,3
