model_name,num_documents,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,0.4066666666666667,-0.282701631845844,-12.306600641152,1
NMF,5000,0.74,-0.22678374994604303,-12.168940007205604,1
LDA,5000,1.0,-0.31545790336081636,-14.43343382830267,1
BERTopic,5000,0.8933333333333333,-0.15341868671656175,-11.802111506272452,1
top2vec,5000,0.4,-0.3036272526595701,-13.026016869580305,2
NMF,5000,0.76,-0.2262533459067725,-12.492205507518065,2
LDA,5000,1.0,-0.3447359009309745,-15.004155991311134,2
BERTopic,5000,0.8933333333333333,-0.17164506710077368,-12.56634527920926,2
top2vec,5000,0.3933333333333333,-0.2712549459648231,-11.764359569749438,3
NMF,5000,0.6866666666666666,-0.20669592448098217,-11.726442738445012,3
LDA,5000,1.0,-0.34446234899566364,-15.180300650694088,3
BERTopic,5000,0.8933333333333333,-0.18423192963364451,-12.802413497097852,3
top2vec,10000,0.7066666666666667,-0.3571134424517937,-15.31092685155949,1
NMF,10000,0.74,-0.13923634819091024,-9.713041742908176,1
LDA,10000,1.0,-0.2417028727527567,-12.277231390223175,1
BERTopic,10000,0.8733333333333333,-0.11394583482675688,-10.72277429274942,1
top2vec,10000,1.0,-0.3142709804681419,-13.532926912076228,2
NMF,10000,0.76,-0.129456015432634,-9.738383310698374,2
LDA,10000,1.0,-0.2544469836887153,-12.4654164818459,2
BERTopic,10000,0.8733333333333333,-0.11732166902863063,-10.398849256264983,2
top2vec,10000,0.7933333333333333,-0.3726522820464401,-15.626627178411983,3
NMF,10000,0.6866666666666666,-0.111171540908161,-9.050389483354946,3
LDA,10000,1.0,-0.2530349634617733,-12.571839889455722,3
BERTopic,10000,0.7866666666666666,-0.09813086630033621,-9.732072453941694,3
top2vec,20000,1.0,-0.4605973880138591,-19.04013968325388,1
NMF,20000,0.74,-0.057785044597936715,-7.416921594843698,1
LDA,20000,1.0,-0.14194252295644094,-9.249877476005707,1
BERTopic,20000,0.8666666666666667,-0.07000171984891014,-9.339861738028349,1
top2vec,20000,1.0,-0.3718645567371614,-17.011861677280937,2
NMF,20000,0.76,-0.06361781280303168,-7.69428461390829,2
LDA,20000,1.0,-0.163944244307544,-9.887971444622043,2
BERTopic,20000,0.8866666666666667,-0.11688528346555037,-10.647465676810276,2
top2vec,20000,0.9333333333333333,-0.3830028964557796,-16.69491520308264,3
NMF,20000,0.6866666666666666,-0.0330453697376608,-6.877839323350746,3
LDA,20000,1.0,-0.16178135345194417,-9.88237624726536,3
BERTopic,20000,0.8533333333333334,-0.09420979009273202,-9.955565141193693,3
top2vec,35000,0.8333333333333334,-0.4224065068352859,-18.679044881740353,1
NMF,35000,0.74,-0.012284909036765546,-6.126895827284622,1
LDA,35000,1.0,-0.09010651927401742,-7.711009877060966,1
BERTopic,35000,0.82,-0.03469635334693829,-8.521379795444137,1
top2vec,35000,0.82,-0.42900265944843163,-18.81946137026866,2
NMF,35000,0.76,-0.012923488787775906,-6.359389126808456,2
LDA,35000,1.0,-0.1060658350912445,-8.110108412758239,2
BERTopic,35000,0.86,-0.026341399308672794,-8.461734239948406,2
top2vec,35000,0.8666666666666667,-0.4227295395717038,-18.86201271193561,3
NMF,35000,0.6866666666666666,0.008046200010293904,-5.687455173157198,3
LDA,35000,1.0,-0.10455882995960081,-8.18544159484109,3
BERTopic,35000,0.8733333333333333,-0.02838380732325769,-8.631149044036784,3
top2vec,50000,0.8666666666666667,-0.40745387585571613,-18.82567859421267,1
NMF,50000,0.74,0.005382742101857813,-5.594630874877837,1
LDA,50000,1.0,-0.05919523680846897,-6.813266956595644,1
BERTopic,50000,0.82,-0.03514751269482505,-8.954314681915898,1
top2vec,50000,0.8733333333333333,-0.3972242367092871,-18.563913657665626,2
NMF,50000,0.76,0.008693843760871175,-5.6702492705876715,2
LDA,50000,1.0,-0.07998016986433867,-7.219932601058385,2
BERTopic,50000,0.8333333333333334,0.012097709108267603,-7.454488573688192,2
top2vec,50000,0.8866666666666667,-0.40631141514894525,-18.945633418595108,3
NMF,50000,0.6866666666666666,0.0241672607761441,-5.221538387709708,3
LDA,50000,1.0,-0.0674945651617473,-7.046424639668729,3
BERTopic,50000,0.7933333333333333,0.003956195288158085,-7.75913288568824,3
top2vec,65000,0.8666666666666667,0.049249916223050146,-8.519470003217053,1
NMF,65000,0.74,0.016333827482086075,-5.302458682471221,1
LDA,65000,1.0,-0.03832911055224301,-6.1750189204724375,1
BERTopic,65000,0.8466666666666667,-0.007783560644008773,-8.369510481729744,1
top2vec,65000,0.96,-0.39116547226829546,-18.59253702344726,2
NMF,65000,0.76,0.021780512171398005,-5.299847914134969,2
LDA,65000,1.0,-0.05163179387549204,-6.49631187395286,2
BERTopic,65000,0.8333333333333334,-0.03551117790719642,-8.88707090561947,2
top2vec,65000,0.9266666666666666,-0.40312541249820005,-18.69972470179258,3
NMF,65000,0.6866666666666666,0.03384910085624717,-4.964888976627865,3
LDA,65000,1.0,-0.05258959205893809,-6.591771259469048,3
BERTopic,65000,0.88,-0.0027262802501428823,-8.090995672512905,3
top2vec,80000,1.0,-0.19975844647801536,-14.382014089759176,1
NMF,80000,0.74,0.023025857869916084,-5.13283881919817,1
LDA,80000,1.0,-0.026564183568183814,-5.84773099699434,1
BERTopic,80000,0.9,0.0475150666633843,-7.41948771077883,1
top2vec,80000,0.9933333333333333,-0.35319623427010144,-17.839671728524383,2
NMF,80000,0.76,0.030070741005085232,-5.098485234406021,2
LDA,80000,1.0,-0.03336561121487443,-6.061975590132433,2
BERTopic,80000,0.88,0.03458226872844365,-7.921164100983712,2
top2vec,80000,0.9866666666666667,-0.3861627432887647,-18.39524346027472,3
NMF,80000,0.6866666666666666,0.040655706737227876,-4.775889140248868,3
LDA,80000,1.0,-0.03757169298160969,-6.177414361172825,3
BERTopic,80000,0.8333333333333334,0.011520561361190475,-7.856089944904292,3
