model_name,top_n_words,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5,1.0,,,1
NMF,5,0.8666666666666667,0.13438484364086759,-1.6035254191111101,1
LDA,5,0.8933333333333333,0.10116779773809388,-2.434457300697803,1
BERTopic,5,0.8666666666666667,0.1808076057029611,-2.425266784413186,1
top2vec,5,1.0,,,2
NMF,5,0.8133333333333334,0.1334842787739948,-1.5356747632946122,2
LDA,5,0.88,0.04945747491836475,-2.3877295381156256,2
BERTopic,5,0.8933333333333333,0.19458707851380336,-2.3373863305339992,2
top2vec,5,1.0,0.12347235362854601,-1.0050810155974654,3
NMF,5,0.8,0.13935256241255473,-1.8186217895616852,3
LDA,5,0.8266666666666667,0.10848167193870702,-1.6604985380770014,3
BERTopic,5,0.9066666666666666,0.2242706442890874,-2.0284744812103304,3
top2vec,8,0.9916666666666667,0.19478937747458497,-2.535098995574015,1
NMF,8,0.8416666666666667,0.1294744881996839,-1.762424375062498,1
LDA,8,0.8416666666666667,0.06326148410930749,-2.5413561743815682,1
BERTopic,8,0.825,0.1656517899137133,-2.090619668022059,1
top2vec,8,1.0,0.04508518764021813,-4.626271578926977,2
NMF,8,0.7833333333333333,0.11840784929955157,-1.6677560072740403,2
LDA,8,0.8666666666666667,0.02254725705823307,-2.9188537285555762,2
BERTopic,8,0.875,0.1784739199326433,-2.1695666749869402,2
top2vec,8,1.0,0.13105681755137832,-1.3235649992548597,3
NMF,8,0.7666666666666667,0.11385709955252803,-1.7102452739596816,3
LDA,8,0.8333333333333334,0.0836684242741356,-1.9949526007371674,3
BERTopic,8,0.8916666666666667,0.20612959151577231,-1.8997506502325499,3
top2vec,10,0.9733333333333334,0.1766417816683202,-2.4095826478478433,1
NMF,10,0.8,0.10442570493478151,-1.8144283586017762,1
LDA,10,0.8266666666666667,0.050690965759488026,-2.5181037540721323,1
BERTopic,10,0.84,0.13766915737507684,-2.489495193708652,1
top2vec,10,1.0,0.06323276505756258,-4.210338460910783,2
NMF,10,0.78,0.10986774154234781,-1.750486491339283,2
LDA,10,0.86,0.026087004268111516,-2.901430130363866,2
BERTopic,10,0.8466666666666667,0.1556258611922893,-2.6035184881717877,2
top2vec,10,0.8444444444444444,0.14136133940854353,-2.595901699615044,3
NMF,10,0.76,0.10919058399608186,-1.7780738202789195,3
LDA,10,0.8,0.0725042557272655,-2.2061377033790706,3
BERTopic,10,0.8533333333333334,0.1799286275457074,-2.0291954671617156,3
top2vec,15,0.9422222222222222,0.12520624231133068,-2.5428702283353557,1
NMF,15,0.7511111111111111,0.07414288972050484,-2.011886757311015,1
LDA,15,0.8266666666666667,0.040032308679331705,-2.570743235092462,1
BERTopic,15,0.7955555555555556,0.10167889342859016,-2.4851532541463115,1
top2vec,15,0.9466666666666667,0.15636436582765803,-2.203402121610241,2
NMF,15,0.7688888888888888,0.08238830575490015,-1.968985446240276,2
LDA,15,0.8488888888888889,0.005906158910206966,-3.2470909558507217,2
BERTopic,15,0.8533333333333334,0.11914268252722561,-2.7791101947461154,2
top2vec,15,0.9644444444444444,0.13517989489651608,-2.6776012072134536,3
NMF,15,0.7244444444444444,0.08486696696392224,-1.8346850127353218,3
LDA,15,0.7733333333333333,0.049883976151113174,-2.3530676995561577,3
BERTopic,15,0.84,0.12921247569182873,-2.559469248125473,3
top2vec,20,1.0,0.0578126937205638,-3.333360839035725,1
NMF,20,0.7,0.055803968257064934,-2.045294079558663,1
LDA,20,0.8066666666666666,0.03386809758115108,-2.5566840819919983,1
BERTopic,20,0.77,0.07382974683497513,-2.8870262985173594,1
top2vec,20,0.9433333333333334,0.09087093383419013,-2.653937148360598,2
NMF,20,0.7466666666666667,0.06580847177635883,-1.9867191302627176,2
LDA,20,0.8333333333333334,-0.010627532932900863,-3.6325453769961316,2
BERTopic,20,0.8166666666666667,0.08865239498217056,-2.998962498511639,2
top2vec,20,1.0,0.06248816273012942,-2.967536753333227,3
NMF,20,0.7066666666666667,0.06777756512975601,-1.9007843266464437,3
LDA,20,0.7533333333333333,0.032314421948479,-2.447341579990942,3
BERTopic,20,0.81,0.0984144458523911,-2.8554716009551795,3
top2vec,25,0.9413333333333334,0.05838494696255376,-2.8166585683947956,1
NMF,25,0.6746666666666666,0.04307757438731931,-2.0819202276117794,1
LDA,25,0.8133333333333334,0.024396301838244226,-2.7030799844935274,1
BERTopic,25,0.736,0.06375967627064041,-2.9217432785677997,1
top2vec,25,1.0,0.059326103427656096,-2.8482424898340657,2
NMF,25,0.7066666666666667,0.050696163954792046,-1.9678020015524693,2
LDA,25,0.808,-0.023673431295316093,-3.7978461864176936,2
BERTopic,25,0.7866666666666666,0.06772074697266176,-2.989427476244684,2
top2vec,25,1.0,0.057983743100516474,-2.8665292337856636,3
NMF,25,0.6773333333333333,0.05335062046702455,-1.8817995771980065,3
LDA,25,0.7413333333333333,0.02175971011921278,-2.429605169157247,3
BERTopic,25,0.776,0.08496010775026581,-2.8131026977478766,3
